00:00,01:00,inte
00:00,01:00,happiness
00:00,01:00,surprise
00:50,01:00,disgust
00:00,01:00,indiff
00:00,01:00,inte
00:24,01:00,happiness
00:50,01:00,surprise
00:00,01:00,inte
00:00,01:00,happiness
00:00,01:00,inte
00:00,01:00,indiff
00:00,01:00,indiff
00:00,01:00,indiff
00:00,01:00,indiff
00:00,01:00,happiness
00:12,00:16,surprise
00:00,01:00,inte
00:00,01:00,happiness
00:15,01:03,disgust
00:00,01:00,inte
00:00,01:00,happiness
00:14,00:17,surprise
00:00,01:00,inte
00:00,01:00,happiness
00:48,01:00,surprise
00:48,01:00,disgust
00:00,01:00,inte
00:00,01:00,happiness
00:51,01:00,surprise
00:00,01:00,inte
00:14,00:17,surprise
00:50,01:00,happiness
00:00,01:00,inte
00:50,01:00,surprise
00:00,01:00,happiness
00:00,01:00,inte
00:30,00:45,happiness
00:50,01:00,surprise
00:00,01:00,indiff
